#TargetURL,Channel,Quality,Server
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-0,s1.1,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-1,s1.2,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-2,s1.3,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-3,s1.4,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-4,s1.5,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-5,s1.6,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-6,s1.7,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-7,s1.8,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-8,s1.9,110KBps (Balanced 480p),None
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/england-premium-league--s1779632480220-9,s1.10,110KBps (Balanced 480p),None

